PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season,City,Weather Condition
73.7,129.3,14.5,11.2,1.09,59.1,30.3,37.3,4.6,1004.1,2.1,9.3,101,Spring,Shanghai,Cloudy
171.6,231.9,64.8,17.5,2.35,50.2,11,43.2,5.2,998,5.5,6.5,228,Autumn,Beijing,Clear
134.4,195.9,49.5,15.5,1.77,63.5,22.5,89.3,1.7,1015.8,4,10.1,180,Spring,Shanghai,Cloudy
111.8,174.9,50.6,15.3,1.65,69.4,12.7,88.1,1,996.9,2.3,8.1,161,Autumn,Guangzhou,Rainy
36.5,49.3,26.2,5.1,0.67,94.2,16.3,35.3,0.6,1010.3,2.7,13.8,65,Autumn,Shanghai,Cloudy
36.5,52,41.5,6.5,0.66,63.6,35.7,87.3,4,1024.9,2.1,11.3,48,Autumn,Shanghai,Cloudy
19.9,26.9,26.5,9,0.55,89.4,13.7,70.2,3.8,1019.4,1.1,14.8,25,Winter,Beijing,Hazy
157.2,269.3,59.3,18,2.17,58.6,23,82.7,3.5,1013.5,2.5,7.9,216,Autumn,Beijing,Hazy
112.2,148.6,40.3,17.7,1.57,65.9,26.1,60,1.8,1004.2,3.5,7.5,136,Summer,Shanghai,Rainy
130.4,214.3,60.5,13.6,1.91,72.5,28.3,63.4,2.6,1013.7,6.2,10.9,171,Spring,Guangzhou,Cloudy
13.5,23.6,5,6.9,0.33,64.9,24.6,61.9,3.8,1010.8,3,13.3,20,Autumn,Guangzhou,Rainy
174.9,286.4,89.5,25.8,2.4,63.6,10.3,71.7,3.2,1007.8,4.3,5.9,257,Spring,Beijing,Clear
151.5,232.6,74.8,11.7,2.12,63.8,18.5,42.7,5.9,998.9,0.5,8.5,214,Autumn,Guangzhou,Cloudy
46.1,68.5,21.4,6.2,0.78,80.4,23.5,36.6,1.3,1021.6,1.9,14.6,70,Winter,Beijing,Clear
40.9,49.4,7.2,9.8,0.77,78.6,12.3,51.9,4.3,1008.5,0,11.6,64,Summer,Guangzhou,Cloudy
41.2,65.2,38,7.5,0.64,104.5,19.1,73.8,2.7,1000.8,0.8,13.2,61,Summer,Shanghai,Cloudy
61.7,102.2,30.5,11.3,1.06,64.9,10.9,46.1,2.9,1006,3.9,12.9,93,Winter,Beijing,Clear
99.2,137.4,57.1,12.1,1.43,61.7,12,72,4.4,1007.4,14.4,11.6,129,Winter,Beijing,Hazy
83.4,96.1,23.3,12.6,1.21,62.5,20.3,88.3,4.3,1019.8,0.3,11.5,114,Winter,Shanghai,Hazy
59.5,101.1,24.8,9.5,1.05,66.2,13.5,40.2,6,1017,1.5,11.8,76,Spring,Beijing,Rainy
114,202,50,18.9,1.56,58.7,24.8,72,1.2,1018.1,4.8,8.6,134,Spring,Guangzhou,Cloudy
33.7,50.7,22.3,8.1,0.54,90.2,27.9,59.4,1.1,995.3,0.7,13.6,51,Summer,Guangzhou,Hazy
59.7,79.2,26.4,11,0.84,89.9,30.8,82.7,4.5,1007.5,2.4,10.7,96,Spring,Beijing,Clear
72.3,95.5,41.5,10,1.17,64.5,15.2,44.7,3.7,1009.4,4,7.4,112,Spring,Guangzhou,Hazy
87.5,150.6,30,11.3,1.2,59.5,14.4,73.1,2,995.6,2.9,11.7,136,Summer,Beijing,Clear
143.5,187.4,58.8,17.1,2.11,68.4,12.7,81.1,0.9,1002.8,0.6,9.9,213,Winter,Shanghai,Hazy
43.9,75.2,26.6,9.6,0.61,68.1,26.5,87,1,1017.8,1.3,9.5,70,Autumn,Beijing,Clear
97.4,148.7,49.2,12.5,1.55,75.9,28.4,72.6,5.4,999.1,4.6,9.1,135,Autumn,Shanghai,Hazy
110.7,188,55.9,15.9,1.6,69.1,10.8,62.3,1.6,1011.1,2.4,10.9,153,Summer,Guangzhou,Hazy
17.9,23.2,5,12,0.46,59.7,34.3,69,2.3,1001.5,0,15,26,Summer,Shanghai,Clear
113.3,136.9,34.3,17.9,1.57,85,11.4,82.8,1.7,995.4,4.3,9.9,155,Autumn,Guangzhou,Cloudy
39,43,36.4,6.9,0.75,96.9,24.1,66.4,2.5,1002.2,0.1,12.2,73,Winter,Beijing,Hazy
21.1,35,20.7,9.7,0.5,70.1,28.4,36.7,0.9,1024.3,4.1,13.8,34,Winter,Guangzhou,Cloudy
171.3,286.8,62.5,19.9,2.39,54.8,32.6,86.2,3.4,1019,0.7,9.4,234,Winter,Beijing,Hazy
174.2,255.5,86.5,15.3,2.35,62.5,28.6,72.9,0.9,1023.8,9.5,6.2,240,Autumn,Beijing,Cloudy
147.4,226.4,62.8,15.7,2.03,66.3,30.8,72.2,4.9,1009.6,1.4,7.2,210,Winter,Shanghai,Cloudy
61.8,101.5,43.4,4.6,0.96,80.5,18.8,46.9,1.8,998.3,1.2,11.5,76,Summer,Shanghai,Clear
26.6,42.4,20,5.6,0.56,100.9,31.2,71.2,3.5,1011.4,0.5,12.4,20,Autumn,Shanghai,Clear
126.3,206.2,74.8,16.7,1.79,62.7,12.1,56.7,5.3,1008.6,1.1,9.5,175,Autumn,Shanghai,Hazy
84.8,105.8,57.2,17.5,1.13,60.2,33.3,70.8,4.1,1020.3,6.3,13.6,103,Summer,Guangzhou,Cloudy
30.7,49.3,18.3,8.1,0.51,59.8,24.2,40.9,3.4,997.9,16.8,14.1,29,Winter,Guangzhou,Cloudy
94.2,164.3,52.7,12.8,1.44,59.9,31.2,71.2,2.3,1009.6,1.4,10.4,138,Autumn,Guangzhou,Cloudy
15.8,19.8,22,8.1,0.45,77.7,21.8,90,2.3,999.5,1.8,13.8,23,Summer,Beijing,Cloudy
